Node Number	X Location (m)	Y Location (m)	Z Location (m)	Shear Elastic Strain (m/m)
1	0.	0.4	0.	-1.2756e-005
2	0.3	0.4	0.	-3.3976e-006
5	0.	0.2	0.	-1.2756e-005
6	0.3	0.2	0.	-3.3976e-006
2	0.3	0.4	0.	-3.3976e-006
3	0.6	0.4	0.	3.025e-006
6	0.3	0.2	0.	-3.3976e-006
7	0.6	0.2	0.	3.4616e-006
3	0.6	0.4	0.	3.025e-006
4	0.9	0.4	0.	8.9212e-008
7	0.6	0.2	0.	3.4616e-006
8	0.9	0.2	0.	2.212e-006
7	0.6	0.2	0.	3.4616e-006
8	0.9	0.2	0.	2.212e-006
9	0.6	0.	0.	4.3347e-006
10	0.9	0.	0.	4.3347e-006
